value,dwin,hnai
ပြောင်းသုံး,,1
ပွေ့ဖက်,,1
ဖမ်းစား,,1
ဖမ်းယူ,,1
ဖုံးလွှမ်းသွား,,1
ဖြစ်ဆဲ,,1
ဖြတ်ကူး,,1
ဖွက်,,1
ဘက်လိုက်ယိမ်း,,1
ဘေးကပ်သင့်,,1
မတောင်းပန်,,1
မီးတောက်,,1
မီးလောင်တတ်,,1
မူးယစ်,,1
မဲဆွယ်လှုပ်ရှား,,1
မှီတင်းနေထိုင်,,1
ရင်ဝယ်ပိုက်,,1
ရုံးတင်စစ်ဆေးမည်,,1
ရောင်ပြန်ကွေးညွှတ်,,1
လည့်လည်,,1
လမ်းပိတ်ဆို့,,1
လှူဒါန်း,,1
ဝေဖန်ဆွေးနွေး,,1
ဝေမျှ,,1
သာ,,1
သာယာ,,1
သေဆုံးသွား,,1
အကျဉ်းချုံး,,1
အဆိပ်ရှိ,,1
အဆုံးသက်,,1
အထူးတီထွင်,,1
အမဲလိုက်,,1
အယူသည်း,,1
အရေးမထားလောက်,,1
အလုပ်ဖြုတ်,,1
အလုပ်လုပ်ကြ,,1
အလုပ်ဝင်,,1
အလွဲသုံးစားလုပ်,,1
အသက်ဝင်,,1
အိတ်ဖွင့်,,1
အိပ်စက်,,1
ဩဘာပေး,,1
ဟုတ်,15,
ကြေညာ,25,
ရင်ဆိုင်,15,
ပြသ,30,
ပျောက်ဆုံး,20,
ယုံကြည်,15,
သုံး,22,
ပတ်သက်,19,
လျှော့ချ,10,
ပြီးဆုံး,9,
အသတ်ခံ,26,
ဆက်သွယ်,15,
မြင့်တက်,14,
သွား,10,
အရေးပါ,9,
မှန်ကန်,2,
ပူးပေါင်း,22,
ရိုက်,17,
ပုံနှိပ်,8,
ရင်းနှီး,6,
ဝယ်,5,
ကုန်သွယ်,4,
ကြီးထွား,3,
ရောင်းချ,20,
ခန့်မှန်း,17,
ဖျော်ဖြေ,13,
ကန့်သတ်,12,
ဖွဲ့စည်း,12,
ခွဲ,11,
တပ်ဆင်,11,
ဖွင့်,11,
ကြိုးစား,10,
ကြည့်,9,
ခရီးသွား,8,
အခြေခံ,8,
ကုန်ကျ,7,
လွတ်ငြိမ်း,7,
လွတ်မြောက်,7,
နိမ့်,6,
သေချာ,6,
တီထွင်,5,
ရောင်း,5,
ကန်,4,
ချီတက်,4,
များပြား,4,
ကျော်ကြား,3,
စ,3,
စိုးရိမ်,3,
စွန့်ပစ်,3,
တတ်,3,
ရှာ,3,
ခံ,2,
ဆန်းသစ်,2,
တိကျ,2,
ထိတ်လန့်,1,
မီးသတ်,1,
ထူးဆန်း,,
ပြောဆို,21,
စီမံ,17,
ဆင်းသက်,15,
အစားထိုး,14,
ဖျက်သိမ်း,12,
ရပ်,11,
ကူးစက်,10,
စီရင်,10,
ဖြစ်ပျက်,10,
ဆောက်လုပ်,9,
စဉ်းစား,8,
ဦးတည်,8,
ဆက်စပ်,7,
တုံ့ပြန်,7,
ဖျက်ဆီး,7,
မဲပေး,7,
ဝတ်ဆင်,7,
ထိမှန်,6,
လူသတ်,6,
သောက်,6,
အဖမ်းခံ,6,
ကင်း,5,
တူ,5,
ပြဌာန်း,5,
ပြေး,5,
လျော့,5,
အောင်,5,
ကိုက်,4,
ကိုးကွယ်,4,
ဗုံးကြဲ,4,
ရပ်စဲ,4,
ရပ်နား,4,
လွှတ်,4,
သုံးသပ်,4,
ကြုံ,3,
တည်းဖြတ်,3,
ထက်သန်,3,
ထိုင်,3,
ပေါက်ကြား,3,
ယိုစိမ့်,3,
သင့်တော်,3,
သည်းထန်,3,
သေကြောင်းကြံစည်,3,
အကျဉ်းချ,3,
ကိုင်တွယ်,2,
စိတ်ချ,2,
ထင်,2,
ရုတ်သိမ်း,2,
ဝမ်းနည်း,2,
သွားလာ,2,
ကြီးကြပ်,1,
ကြောက်လန့်,1,
စော,1,
တောင်း,1,
ထင်မြင်,1,
ပစ်သတ်,1,
ဝန်ခံ,1,
အဆင်ပြေ,1,
ကျောင်းအပ်,,
စုရုန်း,,
ညစ်ညမ်း,,
တိုရန်တိုနီ,,
နှိမ့်ချ,,
ပြတ်သွား,,
သွားနိုင်,,
အုပ်ချူပ်,,
ရေးသား,19,
စွပ်စွဲ,12,
ထွက်ပေါ်,12,
ရယူ,11,
ရေကြီး,11,
လုပ်ကိုင်,11,
တိုးမြှင့်,10,
ဖြတ်,10,
သရုပ်ဆောင်,10,
ရွေးကောက်,9,
စီး,8,
ခြိမ်းခြောက်,7,
ညီမျှ,7,
နစ်မြုပ်,7,
ပိတ်ဆို့,7,
ပျံ့နှံ့,7,
ရိုက်ကူး,7,
လိမ်လည်,7,
ငြင်းဆို,6,
ညွှန်ကြား,6,
ပေးဆောင်,6,
ကပ်,5,
ချန်,5,
စုစည်း,5,
နှိုင်းယှဉ်,5,
ပေါ်ပေါက်,5,
ပြီးစီး,5,
မတ်တတ်,5,
ရုပ်သိမ်း,5,
ဝတ်ပြု,5,
အလုပ်လုပ်,5,
ကျူးကျော်,4,
ကြာရှည်,4,
ချို့ယွင်း,4,
ငြင်းပယ်,4,
စစ်မှန်,4,
ဆက်ခံ,4,
တိတ်ဆိတ်,4,
မီး,4,
မြှင့်တင်,4,
ရှိခိုး,4,
လှည့်ပတ်,4,
လှည့်လည်,4,
သိမ်းပိုက်,4,
အစပြု,4,
အနိုင်ယူ,4,
အသိအမှတ်ပြု,4,
ကင်းလှည့်,3,
ကိုးကား,3,
ကျင့်သုံး,3,
ကျန်ရှိ,3,
ခိုင်မာ,3,
ခုန်,3,
ချိုး,3,
ခြားနား,3,
ဆင်းရဲ,3,
တင်းကျပ်,3,
တိုးလာ,3,
တူး,3,
နှစ်သက်,3,
ဖောင်းပွ,3,
ရောက်ရှိ,3,
လိင်တူဆက်ဆံ,3,
လျှို့ဝှက်,3,
သက်တမ်းကုန်,3,
အသုံးမပြု,3,
ဥပဒေပြု,3,
ကိုယ်စားပြု,2,
ကျခံ,2,
ကျဆင်းသွား,2,
ကျော်လွှား,2,
ခန့်,2,
ချဲ့ထွင်,2,
ခြေရာခံ,2,
ခွဲဝေ,2,
ငြိမ်သက်,2,
စော်ကား,2,
စွမ်းဆောင်,2,
ဆက်ဆံ,2,
ဆိုင်းငံ့,2,
ဆောင်,2,
တိုက်တွန်း,2,
ထိရောက်,2,
နာကျင်,2,
နီးစပ်,2,
ပိုများ,2,
ပေါ်လွင်,2,
ပြည့်စုံ,2,
ပြဋ္ဌာန်း,2,
ပြိုကွဲ,2,
ပြုတ်,2,
ရွေ့လျား,2,
ရှိသေး,2,
လိုက်လျော,2,
လိုလား,2,
လျှော့,2,
လျှော့ကျ,2,
လှုံ့ဆော်,2,
ဝင်တိုက်,2,
အစပျိုး,2,
အရွေးခံ,2,
အလှည့်ကျ,2,
အံ့အားသင့်,2,
ဦးစားပေး,2,
ကု,1,
ကုန်,1,
ကျင်းပလျက်ရှိ,1,
ကျော်လွန်,1,
ကြန့်ကြာ,1,
ကြီးပြင်း,1,
ကွာခြား,1,
ခုန်ဆင်း,1,
ချို့တဲ့,1,
ချီးမြှင့်,1,
ချော်,1,
ဂုဏ်ယူ,1,
စခန်းချ,1,
စစ်တိုက်,1,
စာရင်းပြုစု,1,
စာသင်ကြား,1,
စိတ်ထိခိုက်,1,
စီစဥ်,1,
စေလွှတ်,1,
ဆင်တူ,1,
ဆင်း,1,
ဆေးရုံတင်,1,
ဆွဲဆောင်,1,
တည်ခင်း,1,
တတ်ကြွ,1,
တပ်လှန့်,1,
တရားမဝင်,1,
တရားရင်ဆိုင်,1,
တုန်ခါ,1,
တောက်ပ,1,
ထန်,1,
ထပ်တိုး,1,
ထပ်ပေါင်း,1,
ထွက်ပြေး,1,
နှစ်သိမ့်,1,
ပိုဆိုး,1,
ပိုနည်း,1,
ပေါ့ဆ,1,
ပေါ်လာ,1,
ပေးပို့,1,
ပျံ့နှံ,1,
ပြန်ပို့,1,
ပြန်လွှတ်,1,
ဖြစ်တည်,1,
ဖြတ်သန်းလာ,1,
မြေမြုပ်,1,
မှီ,1,
ယဥ်ကျေး,1,
ရန်လို,1,
ရေပန်းစား,1,
ရှိခဲ့ကြ,1,
ရှုပ်,1,
လက်ဖြောင့်,1,
လိမ်ညာ,1,
လုယူ,1,
လျှောက်ထား,1,
လွန်ကဲ,1,
လွဲချော်,1,
လွှင့်တင်,1,
လှောင်,1,
လှော်,1,
ဝင်သွား,1,
သတင်းပို့,1,
သန်စွမ်း,1,
သရုပ်ပြ,1,
သဲကွဲ,1,
သွားရောက်,1,
အလားတူ,1,
အသားပေး,1,
အသိပေး,1,
အသုံးဝင်,1,
အာမခံ,1,
ကင်းလွတ်,,
ကတိပြု,,
ကပ်ဆိုက်,,
ကာကွယ်ဆေးထိုး,,
ကိုယ်ထိလက်ရောက်ကျူးလွန်,,
ကုန်လွန်,,
ကုသခံ,,
ကူးယူး,,
ကျင့်သုံးနိုင်,,
ကျေနပ်,,
ကြာခဲ့,,
ကြာမြင့်,,
ကြိူးပမ်း,,
ကြီးစိုးလာ,,
ကြီးမြတ်,,
ကြောက်,,
ကြံရွယ်,,
ကွဲ,,
ကွဲပြားခြားနားသွား,,
ခင်မင်,,
ခမ်းနား,,
ခိုးကူး,,
ခုခံချေပ,,
ခေါင်းပုံဖြတ်,,
ခေါ်ဆို,,
ခြား,,
ခွင့်မပြုနိုင်,,
ခွေးကိုက်ခံ,,
ဂရုမစိုက်,,
ငိုကြွေး,,
ငြင်း,,
ငွေ့ရည်စီးဆင်း,,
စစ်ဆေးခံ,,
စတင်ထုတ်,,
စတင်ဖြန့်,,
စထိုင်,,
စထွက်,,
စဖွင့်,,
စမ်းသပ်ပြင်ဆင်,,
စာနာ,,
စာပို့,,
စာပေမတတ်,,
စိတ်ကျေနပ်,,
စိတ်ချယုံကြည်,,
စောင့်ကြည့်,,
စောသေး,,
ဆန္ဒမဲ,,
ဆိုးဝါးလှ,,
ဆုတ်,,
ဆုတ်ခွာတော့,,
ဆွဲခေါ်ဖမ်းဆီး,,
တင်ဆက်ကပြ,,
တစ်ကိုယ်ကောင်းဆန်,,
တည်တံ့,,
တည်ပြု,,
တုံ့နှေး,,
တူညီသွား,,
တောက်လောင်,,
တောပြုန်း,,
တံဆိပ်ခတ်,,
တွေ့ရခဲ,,
တွေး,,
ထ,,
ထင်ရှားပြတ်သား,,
ထင်ဟပ်ပြသ,,
ထည့်ဝင်,,
ထပ်,,
ထိကာလွဲချော်,,
ထိတ်လန့်စရာကောင်း,,
ထိပ်တိုက်တွေ့ကြုံရ,,
ထိုက်တန်,,
ထိုးဆင်းကျ,,
ထိုးဆွ,,
ထိုးပြ,,
ထိုးသွင်း,,
ထုတ်ပိုး,,
ထောက်ကန်,,
ထွက်လာ,,
ထွင်,,
ဒဏ်ခတ်,,
ဒဏ်ရာရ,,
ဒေါသဖြစ်,,
ဓာတ်သိ,,
နလန်ထူ,,
နားလည်ရခက်,,
နိမ့်ပါး,,
နောက်ကြောင်းပြန်,,
နောက်ပြန်လှည့်,,
နဲသွားပြီ,,
နှိပ်,,
နှုတ်ဆက်,,
ပစ်ခတ်ခံ,,
ပစ်မှတ်,,
ပန်း,,
ပန်းထွက်,,
ပယ်ထုတ်,,
ပါဝင်ခဲ့တယ်,,
ပိ,,
ပုန်းခို,,
ပုံအော,,
ပူဆွေး,,
ပူးတွဲဖော်ပြ,,
ပေးလို့,,
ပျက်ပြယ်,,
ပျင်း,,
ပျော်ကျလာ,,
ပျံကြဲ,,
ပြင်းအားလျှော့,,
ပြစ်ဒဏ်ကျသင့်,,
ပြစ်ဒဏ်ချ,,
ပြစ်မှား,,
ပြည့်နှက်,,
ပြဌာန်းလိမ့်,,
ပြန်တုံ့ပြန်,,
ပြန်နေရာယူ,,
ပြန်ပေါ်,,
ပြန်ပြောင်း,,
ပြန်မပေးနိုင်,,
ပြန်လို,,
ပြသခံ,,
ပြီးမြောက်,,
ပွတ်တိုက်,,
ပွဲသိမ်း,,
ဖန်တီးပေး,,
ဖမ်းထား,,
ဖယ်,,
ဖလှယ်,,
ဖိတ်,,
ဖော်ပြထား,,
ဖျက်စီး,,
ဖြစ်စေတတ်,,
ဖြစ်တတ်,,
ဖြစ်နေပုံပေါ်,,
ဖြည့်စွက်,,
ဖြည့်ဆည်း,,
ဖြတ်သွား,,
ဖြိုဖျက်,,
ဖြုံသွားလောက်,,
ဗုံးကွဲ,,
ဘေးမကင်း,,
မသက်သာပြော,,
မိ,,
မုန်း,,
မျော,,
မျော်လင့်,,
မြင်သိ,,
မှတ်တမ်းသွင်း,,
မှတ်သားထား,,
မှတ်သားထိုက်,,
မှီခိုအားထား,,
ယူဆောင်,,
ယှဉ်တွဲ,,
ရင်ထိတ်,,
ရယ်,,
ရိုက်ပြ,,
ရိုက်ယူ,,
ရုန်းကန်,,
ရေဒီယိုသတ္တိကြွ,,
ရောဂါသတ်မှတ်,,
ရဲစွမ်း,,
ရွေ့,,
ရွေ့ဆိုင်း,,
ရွေးချယ်ထား,,
ရှင်းလင်းမြင်သာ,,
ရှိနေဆဲ,,
ရှုရှိုက်ရ,,
ရှောင်တိမ်း,,
လက်ခံနိုင်,,
လက်မခံနိုင်,,
လက်ဝယ်ရှိ,,
လစ်လျူရှူ,,
လမ်းညွှန်,,
လိုက်လံ,,
လုပ်နေ,,
လူမဲ့,,
လူသားချင်းစာနာ,,
လူသိနည်း,,
လေလံတင်,,
လေးစားသ,,
လဲလျောင်းတိုက်ခိုက်,,
လွင့်လာ,,
လွတ်တင်,,
လွဲ,,
လွှင့်,,
လှိုက်ထွက်,,
လှောင်ပြောင်သရော်,,
သက်တမ်းကုန်သွား,,
သက်တမ်းနု,,
သတိမပြု,,
သတိမရှိ,,
သိပ္ပံနည်းကျ,,
သိရှိလာ,,
