,count,count,count
value,တွင်,မှာ,၌
စုပ်ယူ,1.0,,
စုရုန်း,,2.0,
စုရုံး,5.0,1.0,1.0
စုဝေး,6.0,2.0,2.0
စုဝေးနေထိုင်ကြ,1.0,,
စုံစမ်း,20.0,8.0,1.0
စူးစမ်း,6.0,,
စေလွှတ်,1.0,1.0,
စော,1.0,2.0,
စောင့်,9.0,2.0,2.0
စောင့်ကြည့်,,1.0,
စောင့်ဆိုင်း,1.0,,
စောင့်ရှောက်,2.0,,
စောဒကတက်,,,1.0
စောသေး,,1.0,
စော်ကား,2.0,1.0,
စေ့စပ်,4.0,1.0,1.0
စေ့စပ်သေချာ,1.0,,
စံချိန်ချိုး,2.0,,
စံချိန်တင်,1.0,2.0,2.0
စံထားလောက်,1.0,,
စံသတ်မှတ်,1.0,,
စွက်ဖက်,1.0,,
စွန့်,1.0,,
စွန့်ခွာ,,,1.0
စွန့်စား,2.0,,
စွန့်ပစ်,3.0,3.0,
စွပ်စွဲ,12.0,1.0,
စွမ်းဆောင်,2.0,1.0,
စွဲ,1.0,,
စွဲချက်တင်,5.0,,1.0
စွဲဆို,6.0,,
ဆက်,1.0,,
ဆက်ခံ,4.0,1.0,
ဆက်စပ်,7.0,2.0,
ဆက်ဆံ,2.0,1.0,
ဆက်တိုက်,1.0,,
ဆက်နွယ်,5.0,,
ဆက်သွယ်,15.0,6.0,
ဆင့်ခေါ်,2.0,,
ဆင့်ရိုက်,1.0,,
ဆင်ခြေပေး,,,1.0
ဆင်တူ,1.0,1.0,
ဆင်း,1.0,1.0,
ဆင်းရဲ,3.0,1.0,
ဆင်းရဲမွဲတေ,1.0,,
ဆင်းသက်,15.0,2.0,
ဆည်းပူး,1.0,,
ဆန့်ကျင်,36.0,6.0,6.0
ဆန္ဒပြ,23.0,5.0,1.0
ဆန္ဒပြကြ,1.0,,
ဆန္ဒမရှိ,1.0,,
ဆန္ဒမဲ,,1.0,
ဆန်,1.0,,
ဆန့်ကျင်,2.0,,
ဆန်းစစ်,1.0,,
ဆန်းသစ်,2.0,3.0,
ဆာလောင်ငတ်မွတ်,1.0,,
ဆို,3.0,,
ဆိုက်,1.0,,
ဆိုက်ကပ်,2.0,,
ဆိုက်ရောက်,1.0,,
ဆိုင်,26.0,3.0,1.0
ဆိုင်ငံ့,1.0,,
ဆိုင်းငံ့,2.0,1.0,
ဆိုး,2.0,,
ဆိုးရွား,1.0,,
ဆိုးဝါးလှ,,1.0,
ဆီးစွန့်,2.0,,
ဆုတောင်း,2.0,,1.0
ဆုတ်,,1.0,
ဆုတ်ခွာ,2.0,,
ဆုတ်ခွာတော့,,1.0,
ဆုတ်ဖြဲ,1.0,,
ဆုပ်ကိုင်,1.0,,
ဆုံခဲ့ကြ,1.0,,
ဆုံတွေ့,1.0,,
ဆုံးဖြတ်,20.0,11.0,3.0
ဆုံးဖြတ်ချ,1.0,,
ဆုံးရုံး,1.0,,
ဆုံးရှုံး,21.0,7.0,2.0
ဆုံးရှံး,1.0,,
